cow_id,date,time,latitude,longitude,temperature
cow_001,20-05-2023,07:00,9.959149707471601,77.99311732363128,38.53
cow_001,20-05-2023,08:00,9.956679787578075,77.99307953014385,41.6
cow_001,20-05-2023,09:00,9.958559580363907,77.99009422622294,37.91
cow_001,20-05-2023,10:00,9.956323296737661,77.99322472508554,40.21
cow_001,20-05-2023,11:00,9.955703423898148,77.98862857620337,36.08
cow_001,20-05-2023,12:00,9.962676578899625,77.98803742324063,40.48
cow_001,20-05-2023,13:00,9.957202264772501,77.9956952642157,40.41
cow_001,20-05-2023,14:00,9.960590925350491,77.9914205559882,37.44
cow_001,20-05-2023,15:00,9.954767798847667,77.99161056033621,40.59
cow_001,20-05-2023,16:00,9.956024416792465,77.99159583778714,39.86
cow_001,20-05-2023,17:00,9.962997108105373,77.99539514861175,41.75
cow_001,20-05-2023,18:00,9.956207857751966,77.9935582400787,37.81
cow_001,20-05-2023,19:00,9.962142079457475,77.98928509498397,37.55
cow_002,20-05-2023,07:00,9.956927374642227,77.99366596936311,39.84
cow_002,20-05-2023,08:00,9.956009698074874,77.9962434601063,37.99
cow_002,20-05-2023,09:00,9.961281859470038,77.99284402108378,38.3
cow_002,20-05-2023,10:00,9.954418512334344,77.99027108258048,37.95
cow_002,20-05-2023,11:00,9.957895367444962,77.9918651121546,41.62
cow_002,20-05-2023,12:00,9.956497722557383,77.99445389218238,41.62
cow_002,20-05-2023,13:00,9.96155360021662,77.99234578515045,39.09
cow_002,20-05-2023,14:00,9.960842450208833,77.99526113615745,36.55
cow_002,20-05-2023,15:00,9.959578746765873,77.99395551606852,39.58
cow_002,20-05-2023,16:00,9.954336964984638,77.98967522223722,39.05
cow_002,20-05-2023,17:00,9.95772020881867,77.98894624451903,36.16
cow_002,20-05-2023,18:00,9.960569930583768,77.99290032034982,41.13
cow_002,20-05-2023,19:00,9.95487304965321,77.99547018397153,40.35
cow_003,20-05-2023,07:00,9.95611977640587,77.99239770686945,39.13
